,0,1,2,3,4
0,4,64000000,10000,52.885895,60.488718
1,4,64000000,10000,52.88297,60.492064
2,4,64000000,10000,52.884429,60.490395
3,4,64000000,10000,52.87369,60.502681
4,4,64000000,10000,52.871031,60.505724
5,8,64000,1000,0.019967,0.0
6,8,64000,1000,0.020072,0.0
7,8,64000,1000,0.019833,0.0
8,8,64000,1000,0.019865,0.0
9,8,64000,1000,0.020018,0.0
10,1,6400000,1000,2.143762,14.46056
11,1,6400000,1000,2.148086,14.431452
12,1,6400000,1000,2.141647,14.474841
13,1,6400000,1000,2.146604,14.441415
14,1,6400000,1000,2.143633,14.461431
15,1,640000,10000,2.093953,14.804535
16,1,640000,10000,2.094181,14.802923
17,1,640000,10000,2.099327,14.766637
18,1,640000,10000,2.094874,14.798026
19,1,640000,10000,2.098139,14.774998
20,2,640000,1000,0.127094,23.604576
21,2,640000,1000,0.128467,23.352301
22,2,640000,1000,0.126653,23.686766
23,2,640000,1000,0.12597,23.815194
24,2,640000,1000,0.127186,23.587502
25,8,6400000,1000,0.289975,106.905768
26,8,6400000,1000,0.289528,107.070819
27,8,6400000,1000,0.29039,106.752987
28,8,6400000,1000,0.290287,106.790866
29,8,6400000,1000,0.289859,106.948551
30,2,640000,10000,1.078021,28.756397
31,2,640000,10000,1.077374,28.773666
32,2,640000,10000,1.077949,28.758318
33,2,640000,10000,1.077675,28.76563
34,2,640000,10000,1.079904,28.706255
35,1,64000000,10000,211.078865,15.155473
36,1,64000000,1000,21.459554,14.865174
37,1,64000000,1000,21.437553,14.88043
38,1,64000000,1000,21.421566,14.891535
39,1,64000000,1000,21.438464,14.879797
40,1,64000000,1000,21.444452,14.875642
41,1,64000,1000,0.029591,0.0
42,1,64000,1000,0.029665,0.0
43,1,64000,1000,0.029723,0.0
44,1,64000,1000,0.030169,0.0
45,1,64000,1000,0.029837,0.0
46,4,6400000,1000,0.557156,55.639713
47,4,6400000,1000,0.567688,54.60746
48,4,6400000,1000,0.557358,55.619548
49,4,6400000,1000,0.557788,55.576671
50,4,6400000,1000,0.556653,55.68999
51,1,64000,10000,0.223558,13.419336
52,1,64000,10000,0.224389,13.369639
53,1,64000,10000,0.223766,13.406863
54,1,64000,10000,0.22393,13.397044
55,1,64000,10000,0.224175,13.382402
56,4,640000,1000,0.074863,40.0732
57,4,640000,1000,0.074266,40.395336
58,4,640000,1000,0.074563,40.234433
59,4,640000,1000,0.075069,39.963234
60,4,640000,1000,0.075543,39.712482
61,8,6400000,10000,2.677009,119.162842
62,8,6400000,10000,2.667932,119.568265
63,8,6400000,10000,2.676287,119.194989
64,8,6400000,10000,2.666324,119.640374
65,8,6400000,10000,2.667589,119.583639
66,2,64000000,1000,10.74496,29.688338
67,2,64000000,1000,10.755227,29.659997
68,2,64000000,1000,10.736395,29.712022
69,2,64000000,1000,10.753965,29.663478
70,2,64000000,1000,10.747552,29.681178
71,1,640000,1000,0.220327,13.616125
72,1,640000,1000,0.221295,13.556565
73,1,640000,1000,0.220656,13.595823
74,1,640000,1000,0.220107,13.629735
75,1,640000,1000,0.217,13.824885
76,4,6400000,10000,5.305374,60.127712
77,4,6400000,10000,5.302451,60.160858
78,4,6400000,10000,5.303673,60.146996
79,4,6400000,10000,5.311611,60.057109
80,4,6400000,10000,5.305403,60.127383
81,4,64000000,1000,5.384419,59.245018
82,4,64000000,1000,5.386911,59.217611
83,4,64000000,1000,5.382518,59.265942
84,4,64000000,1000,5.385722,59.230684
85,4,64000000,1000,5.380791,59.284964
86,8,640000,1000,0.045656,65.708779
87,8,640000,1000,0.04592,65.33101
88,8,640000,1000,0.045736,65.593843
89,8,640000,1000,0.045575,65.825562
90,8,640000,1000,0.046383,64.678869
91,2,6400000,10000,10.568008,30.185443
92,2,6400000,10000,10.566529,30.189668
93,2,6400000,10000,10.576044,30.162507
94,2,6400000,10000,10.562628,30.200817
95,2,6400000,10000,10.57334,30.170221
96,4,640000,10000,0.563394,55.02366
97,4,640000,10000,0.563905,54.973799
98,4,640000,10000,0.563048,55.057473
99,4,640000,10000,0.563017,55.060504
100,4,640000,10000,0.56276,55.085649
101,8,64000,10000,0.06483,46.274873
102,8,64000,10000,0.072689,41.271719
103,8,64000,10000,0.065457,45.831615
104,8,64000,10000,0.06556,45.75961
105,8,64000,10000,0.065242,45.982649
106,4,64000,1000,0.021594,0.0
107,4,64000,1000,0.022449,0.0
108,4,64000,1000,0.022058,0.0
109,4,64000,1000,0.02168,0.0
110,4,64000,1000,0.022627,0.0
111,1,6400000,10000,21.089984,15.125663
112,1,6400000,10000,21.083507,15.13031
113,1,6400000,10000,21.074064,15.13709
114,1,6400000,10000,21.076724,15.135179
115,1,6400000,10000,21.08585,15.128629
116,8,64000000,10000,26.456471,120.915598
117,8,64000000,10000,26.443917,120.973001
118,8,64000000,10000,26.444701,120.969415
119,8,64000000,10000,26.455158,120.921599
120,8,64000000,10000,26.44916,120.949021
121,4,64000,10000,0.090117,33.290056
122,4,64000,10000,0.090492,33.152102
123,4,64000,10000,0.090086,33.301512
124,4,64000,10000,0.089642,33.466455
125,4,64000,10000,0.090169,33.270858
126,2,64000,10000,0.13964,21.483816
127,2,64000,10000,0.139356,21.527598
128,2,64000,10000,0.13962,21.486893
129,2,64000,10000,0.140695,21.322719
130,2,64000,10000,0.140237,21.392357
131,2,6400000,1000,1.090895,28.417034
132,2,6400000,1000,1.094137,28.332832
133,2,6400000,1000,1.08904,28.465437
134,2,6400000,1000,1.091148,28.410445
135,2,6400000,1000,1.090881,28.417398
136,2,64000,1000,0.027024,0.0
137,2,64000,1000,0.026368,0.0
138,2,64000,1000,0.026653,0.0
139,2,64000,1000,0.027036,0.0
140,2,64000,1000,0.026338,0.0
141,8,640000,10000,0.301171,102.931557
142,8,640000,10000,0.301378,102.860859
143,8,640000,10000,0.300798,103.059196
144,8,640000,10000,0.301465,102.831174
145,8,640000,10000,0.301396,102.854716
146,8,64000000,1000,2.702919,118.020555
147,8,64000000,1000,2.700504,118.126098
148,8,64000000,1000,2.710762,117.679088
149,8,64000000,1000,2.701755,118.071402
150,8,64000000,1000,2.703114,118.012041
151,2,64000000,10000,105.76178,30.247222
152,2,64000000,10000,105.747142,30.251409
